species,tissue_class,cell_type,cell_name,geneSymbol,PMID
Mm,Immune system,,Dendritic cells,CD209A,
Mm,Immune system,,Dendritic cells,CD209B,
Mm Hs,Immune system,,Dendritic cells,IRF8,
Mm,Immune system,,Dendritic cells,H2-AB1,
Mm Hs,Immune system,,Dendritic cells,ADGRE1,
Mm Hs,Immune system,,Dendritic cells,CCL17,
Mm Hs,Immune system,,Dendritic cells,CD14,
Mm Hs,Immune system,,Dendritic cells,CD207,
Mm Hs,Immune system,,Dendritic cells,CD8A,
Mm Hs,Immune system,,Dendritic cells,CX3CR1,
Mm,Immune system,,Dendritic cells,H2-EB1,
Mm Hs,Immune system,,Dendritic cells,ITGAM,
Mm Hs,Immune system,,Dendritic cells,LY75,
Mm Hs,Immune system,,Dendritic cells,PDCD1LG2,
Mm Hs,Immune system,,Dendritic cells,PTPRC,
Mm Hs,Immune system,,Dendritic cells,SIRPA,
Hs,Immune system,,Dendritic cells,FCGR3A,
Hs,Immune system,,Dendritic cells,FTL,
Hs,Immune system,,Dendritic cells,SERPINA1,
Mm Hs,Immune system,,Dendritic cells,AXL,
Mm Hs,Immune system,,Dendritic cells,PPP1R14A,
Hs,Immune system,,Dendritic cells,SIGLEC6,
Mm Hs,Immune system,,Dendritic cells,CD22,
Mm Hs,Immune system,,Dendritic cells,DAB2,
Mm Hs,Immune system,,Dendritic cells,S100A8,
Mm Hs,Immune system,,Dendritic cells,VCAN,
Hs,Immune system,,Dendritic cells,LYZ,
Mm Hs,Immune system,,Dendritic cells,ANXA1,
Mm Hs,Immune system,,Dendritic cells,FCER1A,
Hs,Immune system,,Dendritic cells,C1ORF54,
Mm Hs,Immune system,,Dendritic cells,CADM1,
Mm Hs,Immune system,,Dendritic cells,CAMK2D,
Mm Hs,Immune system,,Dendritic cells,LGALS3,
Mm Hs,Immune system,,Dendritic cells,NAPSA,
Mm Hs,Immune system,,Dendritic cells,PLBD1,
Mm Hs,Immune system,,Dendritic cells,RNASE6,
Mm Hs,Immune system,,Dendritic cells,PLAC8,
Mm,Immune system,,Dendritic cells,IFITM6,
Mm,Immune system,,Dendritic cells,EAR2,
Mm Hs,Immune system,,Dendritic cells,H2AFY,
Mm Hs,Immune system,,Dendritic cells,SLC11A1,
Mm Hs,Immune system,,Dendritic cells,PDPN,
Mm Hs,Immune system,,Dendritic cells,S100B,
Mm Hs,Immune system,,Dendritic cells,CD28,
Mm Hs,Immune system,,Dendritic cells,PPL,
Mm Hs,Immune system,,Dendritic cells,SLURP1,
Hs,Immune system,,Dendritic cells,HLA-A,
Hs,Immune system,,Dendritic cells,HLA-B,
Hs,Immune system,,Dendritic cells,HLA-C,
Hs,Immune system,,Dendritic cells,HLA-DRB5,
Mm Hs,Immune system,,Dendritic cells,SERPINB9,
Mm Hs,Kidney,,Distal tubule cells,CLDN8,
Mm Hs,Kidney,,Distal tubule cells,SLC12A3,
Mm Hs,Kidney,,Distal tubule cells,UMOD,
Mm Hs,Kidney,,Distal tubule cells,JAG1,
Mm Hs,Kidney,,Distal tubule cells,CALB1,
Mm Hs,Kidney,,Distal tubule cells,PVALB,
Mm Hs,Kidney,,Distal tubule cells,PGAM2,
Mm Hs,Kidney,,Distal tubule cells,WNK4,
Mm Hs,Kidney,,Distal tubule cells,SGMS2,
Mm Hs,Kidney,,Distal tubule cells,SLC16A7,
Mm Hs,Kidney,,Distal tubule cells,LHX1,
Mm Hs,Kidney,,Distal tubule cells,ABCA13,
Mm,Kidney,,Distal tubule cells,HOXB5OS,
Mm Hs,Kidney,,Distal tubule cells,EMX1,
Mm Hs,Kidney,,Distal tubule cells,TRPM6,
Mm Hs,Kidney,,Distal tubule cells,CWH43,
Mm Hs,Kidney,,Distal tubule cells,TRPM7,
Mm Hs,Kidney,,Distal tubule cells,UROC1,
Mm Hs,Kidney,,Distal tubule cells,TFRC,
Mm,Kidney,,Distal tubule cells,LHX1OS,
Mm Hs,Kidney,,Distal tubule cells,TSC22D2,
Mm Hs,Kidney,,Distal tubule cells,LARP1B,
Mm Hs,Kidney,,Distal tubule cells,CLCNKB,
None,Kidney,,Distal tubule cells,GBAS,
Mm Hs,Kidney,,Distal tubule cells,KLHL3,
Mm Hs,Kidney,,Distal tubule cells,KLK1,
Mm Hs,Kidney,,Distal tubule cells,KCNJ1,
Mm Hs,Kidney,,Distal tubule cells,HOXD8,
Mm Hs,Kidney,,Distal tubule cells,KL,
Mm Hs,Kidney,,Distal tubule cells,EGF,
Mm Hs,Kidney,,Distal tubule cells,TMEM213,
Mm,Kidney,,Distal tubule cells,KNG2,
Mm Hs,Kidney,,Distal tubule cells,TMEM52B,
Mm,Kidney,,Distal tubule cells,WFDC15B,
Mm Hs,Kidney,,Distal tubule cells,DEFB1,
Mm Hs,Kidney,,Distal tubule cells,FXYD2,
Mm Hs,Kidney,,Distal tubule cells,USMG5,
Mm Hs,Kidney,,Distal tubule cells,TRHDE,
Mm,Kidney,,Distal tubule cells,KAP,
Mm,Kidney,,Distal tubule cells,ACSM2,
Mm Hs,Kidney,,Distal tubule cells,KCNJ16,
Mm Hs,Kidney,,Distal tubule cells,RHCG,
Mm Hs,Kidney,,Distal tubule cells,SOSTDC1,
Mm Hs,Kidney,,Distal tubule cells,SCNN1A,
Mm Hs,Kidney,,Distal tubule cells,VDR,
Mm Hs,Kidney,,Distal tubule cells,WNK1,
Mm Hs,Kidney,,Distal tubule cells,SLC8A1,
Mm Hs,Kidney,,Distal tubule cells,AQP2,
Mm Hs,Kidney,,Distal tubule cells,AVPR2,
Mm Hs,Brain,,Dopaminergic neurons,TH,
Mm Hs,Brain,,Dopaminergic neurons,SLC6A3,
Mm Hs,Brain,,Dopaminergic neurons,FOXA2,
Mm Hs,Brain,,Dopaminergic neurons,KCNJ6,
Mm Hs,Brain,,Dopaminergic neurons,NR4A2,
Mm Hs,Brain,,Dopaminergic neurons,LMX1B,
Mm Hs,Brain,,Dopaminergic neurons,CACNA2D2,
Mm Hs,Brain,,Dopaminergic neurons,CADPS2,
Mm Hs,Brain,,Dopaminergic neurons,CHRNA6,
Mm Hs,Brain,,Dopaminergic neurons,MAPK8IP2,
Mm Hs,Brain,,Dopaminergic neurons,NTN1,
Mm Hs,Brain,,Dopaminergic neurons,PRKCG,
Hs,Brain,,Dopaminergic neurons,SCN2A,
Mm Hs,Brain,,Dopaminergic neurons,TENM1,
Mm Hs,Brain,,Dopaminergic neurons,ZIM3,
Mm Hs,Brain,,Dopaminergic neurons,DDC,
Mm Hs,Brain,,Dopaminergic neurons,SLC18A2,
Mm Hs,Brain,,Dopaminergic neurons,SLC18A3,
Mm Hs,Brain,,Dopaminergic neurons,NEUROD6,
Mm Hs,Brain,,Dopaminergic neurons,SMAD3,
Mm Hs,Brain,,Dopaminergic neurons,PITX3,
Mm Hs,Pancreas,,Ductal cells,CFTR,
Mm Hs,Pancreas,,Ductal cells,HNF1B,
Mm Hs,Pancreas,,Ductal cells,KRT20,
Mm Hs,Pancreas,,Ductal cells,MUC1,
Mm Hs,Pancreas,,Ductal cells,ONECUT1,
Mm Hs,Pancreas,,Ductal cells,AMBP,
Mm Hs,Pancreas,,Ductal cells,HHEX,
Mm Hs,Pancreas,,Ductal cells,ANXA4,
Mm Hs,Pancreas,,Ductal cells,SPP1,
Mm Hs,Pancreas,,Ductal cells,PDX1,
Hs,Pancreas,,Ductal cells,SERPINA3,
Mm Hs,Pancreas,,Ductal cells,CFB,
Mm Hs,Pancreas,,Ductal cells,GDF15,
Hs,Pancreas,,Ductal cells,AKR1C3,
Mm Hs,Pancreas,,Ductal cells,MMP7,
Mm Hs,Pancreas,,Ductal cells,DEFB1,
Mm Hs,Pancreas,,Ductal cells,SERPING1,
Mm Hs,Pancreas,,Ductal cells,TSPAN8,
Mm Hs,Pancreas,,Ductal cells,CLDN10,
Mm Hs,Pancreas,,Ductal cells,SLPI,
Mm Hs,Pancreas,,Ductal cells,SERPINA5,
Mm Hs,Pancreas,,Ductal cells,PIGR,
Mm Hs,Pancreas,,Ductal cells,CLDN1,
Mm Hs,Pancreas,,Ductal cells,LGALS4,
Mm Hs,Pancreas,,Ductal cells,PERP,
Mm Hs,Pancreas,,Ductal cells,PDLIM3,
Mm Hs,Pancreas,,Ductal cells,WFDC2,
Mm Hs,Pancreas,,Ductal cells,SLC3A1,
Mm Hs,Pancreas,,Ductal cells,AQP1,
Mm Hs,Pancreas,,Ductal cells,ALDH1A3,
Mm Hs,Pancreas,,Ductal cells,VTCN1,
Mm Hs,Pancreas,,Ductal cells,KRT19,
Mm Hs,Pancreas,,Ductal cells,TFF1,
Mm Hs,Pancreas,,Ductal cells,TFF2,
Mm Hs,Pancreas,,Ductal cells,KRT7,
Mm Hs,Pancreas,,Ductal cells,CLDN4,
Mm Hs,Pancreas,,Ductal cells,LAMB3,
Mm Hs,Pancreas,,Ductal cells,TACSTD2,
Mm Hs,Pancreas,,Ductal cells,CCL2,
Hs,Pancreas,,Ductal cells,DCDC2,
Mm Hs,Pancreas,,Ductal cells,CXCL2,
Mm Hs,Pancreas,,Ductal cells,CTSH,
Mm Hs,Pancreas,,Ductal cells,S100A10,
Mm Hs,Zygote,,Embryonic stem cells,MYC,
Mm Hs,Zygote,,Embryonic stem cells,FOXD3,
Mm Hs,Zygote,,Embryonic stem cells,POU5F1,
Mm Hs,Zygote,,Embryonic stem cells,FUT4,
Hs,Zygote,,Embryonic stem cells,CD24,
Mm Hs,Zygote,,Embryonic stem cells,ITGA4,
Mm Hs,Zygote,,Embryonic stem cells,CDH1,
Mm Hs,Zygote,,Embryonic stem cells,ABCG2,
Mm Hs,Zygote,,Embryonic stem cells,PODXL,
Hs,Zygote,,Embryonic stem cells,ALPP,
Mm Hs,Zygote,,Embryonic stem cells,ZIC1,
Mm Hs,Zygote,,Embryonic stem cells,PRDM5,
Mm Hs,Zygote,,Embryonic stem cells,ANO6,
Mm Hs,Zygote,,Embryonic stem cells,CDK8,
Mm Hs,Zygote,,Embryonic stem cells,SLC46A2,
Hs,Zygote,,Embryonic stem cells,TEX19,
Mm Hs,Zygote,,Embryonic stem cells,ZSCAN10,
Mm Hs,Zygote,,Embryonic stem cells,KCNIP3,
Mm Hs,Zygote,,Embryonic stem cells,PCGF2,
Mm Hs,Zygote,,Embryonic stem cells,NANOG,
Mm Hs,Zygote,,Embryonic stem cells,GAL,
Mm Hs,Zygote,,Embryonic stem cells,PITX2,
Mm Hs,Zygote,,Embryonic stem cells,BCL3,
Mm Hs,Zygote,,Embryonic stem cells,SALL4,
Mm,Zygote,,Embryonic stem cells,DPPA5A,
Mm Hs,Zygote,,Embryonic stem cells,TDGF1,
Mm Hs,Zygote,,Embryonic stem cells,HOXB5,
Mm Hs,Zygote,,Embryonic stem cells,SUMO2,
Mm Hs,Zygote,,Embryonic stem cells,BNIP3,
Mm Hs,Zygote,,Embryonic stem cells,GJC1,
Mm Hs,Zygote,,Embryonic stem cells,TRIM6,
Mm Hs,Zygote,,Embryonic stem cells,PUM2,
Mm Hs,Zygote,,Embryonic stem cells,GJB4,
Mm Hs,Zygote,,Embryonic stem cells,SOX15,
Mm Hs,Zygote,,Embryonic stem cells,UTF1,
Mm Hs,Zygote,,Embryonic stem cells,GJB1,
Mm Hs,Zygote,,Embryonic stem cells,LMNA,
Mm Hs,Zygote,,Embryonic stem cells,FBXO15,
Mm Hs,Zygote,,Embryonic stem cells,PML,
Mm Hs,Zygote,,Embryonic stem cells,THY1,
Mm Hs,Zygote,,Embryonic stem cells,KIT,
Mm Hs,Zygote,,Embryonic stem cells,EPCAM,
Mm Hs,Zygote,,Embryonic stem cells,CD9,
Mm Hs,Zygote,,Embryonic stem cells,ITGB1,
Hs,Zygote,,Embryonic stem cells,CD59,
Mm Hs,Zygote,,Embryonic stem cells,PROM1,
Mm Hs,Zygote,,Embryonic stem cells,PECAM1,
Mm Hs,Zygote,,Embryonic stem cells,ITGA6,
Mm Hs,Zygote,,Embryonic stem cells,FZD1,
Hs,Zygote,,Embryonic stem cells,KITLG,
Mm Hs,Zygote,,Embryonic stem cells,SOX2,
Mm Hs,Zygote,,Embryonic stem cells,KLF4,
Mm Hs,Zygote,,Embryonic stem cells,ZFP42,
Mm Hs,Zygote,,Embryonic stem cells,ZFX,
Mm Hs,Zygote,,Embryonic stem cells,TAF8,
Mm Hs,Zygote,,Embryonic stem cells,HMGA2,
Mm Hs,Zygote,,Embryonic stem cells,NACC1,
Mm Hs,Zygote,,Embryonic stem cells,NR6A1,
Mm Hs,Zygote,,Embryonic stem cells,STAT3,
Mm Hs,Zygote,,Embryonic stem cells,LEF1,
Mm Hs,Zygote,,Embryonic stem cells,L1TD1,
Hs,Zygote,,Embryonic stem cells,KHDC3L,
Mm Hs,Zygote,,Embryonic stem cells,GDF3,
Hs,Zygote,,Embryonic stem cells,DPPA5,
Mm Hs,Zygote,,Embryonic stem cells,DPPA4,
Mm Hs,Zygote,,Embryonic stem cells,DPPA2,
Mm Hs,Zygote,,Embryonic stem cells,DPPA3,
Mm Hs,Zygote,,Embryonic stem cells,SMAD1,
Mm Hs,Zygote,,Embryonic stem cells,SMAD5,
Mm Hs,Zygote,,Embryonic stem cells,SMAD9,
Mm Hs,Zygote,,Embryonic stem cells,SMAD4,
Mm Hs,Zygote,,Embryonic stem cells,SMAD2,
Mm Hs,Zygote,,Embryonic stem cells,SMAD3,
Mm Hs,Zygote,,Embryonic stem cells,CTNNB1,
Mm Hs,Zygote,,Embryonic stem cells,HHEX,
Mm Hs,Zygote,,Embryonic stem cells,HES1,
Mm Hs,Zygote,,Embryonic stem cells,ESRRB,
Mm Hs,Zygote,,Embryonic stem cells,DNMT3B,
Mm Hs,Zygote,,Embryonic stem cells,TRIM28,
Mm Hs,Zygote,,Embryonic stem cells,PIWIL1,
Mm Hs,Zygote,,Embryonic stem cells,PIWIL2,
Mm Hs,Zygote,,Embryonic stem cells,PIWIL4,
Mm Hs,Zygote,,Embryonic stem cells,LIFR,
Mm Hs,Zygote,,Embryonic stem cells,IL6ST,
Mm,Zygote,,Embryonic stem cells,ZSCAN4D,
Mm Hs,Vasculature,,Endothelial cells,PECAM1,
Mm Hs,Vasculature,,Endothelial cells,ICAM1,
Mm Hs,Vasculature,,Endothelial cells,ITGB3,
Mm Hs,Vasculature,,Endothelial cells,SELE,
Mm Hs,Vasculature,,Endothelial cells,VCAM1,
Mm Hs,Vasculature,,Endothelial cells,MCAM,
Mm Hs,Vasculature,,Endothelial cells,PROCR,
Mm Hs,Vasculature,,Endothelial cells,TEK,
Mm Hs,Vasculature,,Endothelial cells,FLT4,
Mm Hs,Vasculature,,Endothelial cells,APLN,
Mm Hs,Vasculature,,Endothelial cells,VWF,
Mm Hs,Vasculature,,Endothelial cells,NOS3,
Mm Hs,Vasculature,,Endothelial cells,THBD,
Mm Hs,Vasculature,,Endothelial cells,PLVAP,
Mm Hs,Vasculature,,Endothelial cells,ACKR1,
Mm Hs,Vasculature,,Endothelial cells,SLCO1C1,
Mm Hs,Vasculature,,Endothelial cells,TMEM100,
Mm Hs,Vasculature,,Endothelial cells,ADGRF5,
Mm,Vasculature,,Endothelial cells,ABCB1A,
Mm Hs,Vasculature,,Endothelial cells,ABCG2,
Mm Hs,Vasculature,,Endothelial cells,PODXL,
Mm Hs,Vasculature,,Endothelial cells,NOSTRIN,
Mm Hs,Vasculature,,Endothelial cells,MFSD2A,
Mm Hs,Vasculature,,Endothelial cells,ACVRL1,
Mm Hs,Vasculature,,Endothelial cells,AQP1,
Mm Hs,Vasculature,,Endothelial cells,MYLK,
Mm Hs,Vasculature,,Endothelial cells,RASIP1,
Mm Hs,Vasculature,,Endothelial cells,FLI1,
Mm Hs,Vasculature,,Endothelial cells,TIE1,
Mm Hs,Vasculature,,Endothelial cells,APLNR,
Mm Hs,Vasculature,,Endothelial cells,NRP2,
Mm Hs,Vasculature,,Endothelial cells,ADAMTS1,
Mm Hs,Vasculature,,Endothelial cells,RPRM,
Mm Hs,Vasculature,,Endothelial cells,FABP4,
Mm Hs,Vasculature,,Endothelial cells,GPIHBP1,
Mm Hs,Vasculature,,Endothelial cells,FHL2,
Mm Hs,Vasculature,,Endothelial cells,LOX,
Mm Hs,Vasculature,,Endothelial cells,KLK1,
Mm Hs,Vasculature,,Endothelial cells,ADORA2A,
Mm Hs,Vasculature,,Endothelial cells,ARAP3,
Mm Hs,Vasculature,,Endothelial cells,ARHGEF15,
Mm Hs,Vasculature,,Endothelial cells,CARD10,
Mm Hs,Vasculature,,Endothelial cells,CLEC14A,
Mm Hs,Vasculature,,Endothelial cells,DLL4,
Mm Hs,Vasculature,,Endothelial cells,ESM1,
Mm,Vasculature,,Endothelial cells,EXOC3L,
Mm Hs,Vasculature,,Endothelial cells,GIMAP5,
Mm Hs,Vasculature,,Endothelial cells,GJA4,
Mm Hs,Vasculature,,Endothelial cells,MMRN2,
Mm Hs,Vasculature,,Endothelial cells,NOTCH4,
Mm Hs,Vasculature,,Endothelial cells,NPR1,
Mm Hs,Vasculature,,Endothelial cells,PRKCH,
Mm Hs,Vasculature,,Endothelial cells,RASGRP3,
Mm Hs,Vasculature,,Endothelial cells,ROBO4,
Mm Hs,Vasculature,,Endothelial cells,SCARF1,
Mm Hs,Vasculature,,Endothelial cells,SOX18,
Mm Hs,Vasculature,,Endothelial cells,SOX7,
Mm Hs,Vasculature,,Endothelial cells,SPNS2,
Mm Hs,Vasculature,,Endothelial cells,THSD1,
Mm Hs,Vasculature,,Endothelial cells,APOLD1,
Mm Hs,Vasculature,,Endothelial cells,EMP1,
Mm Hs,Vasculature,,Endothelial cells,CD36,
Mm Hs,Vasculature,,Endothelial cells,RNASE1,
Mm Hs,Vasculature,,Endothelial cells,CTGF,
Mm Hs,Vasculature,,Endothelial cells,HYAL2,
Mm Hs,Vasculature,,Endothelial cells,CLEC4G,
Mm Hs,Vasculature,,Endothelial cells,GPR182,
Mm Hs,Vasculature,,Endothelial cells,F8,
Mm Hs,Vasculature,,Endothelial cells,RBP7,
Mm Hs,Vasculature,,Endothelial cells,CALCRL,
Mm Hs,Vasculature,,Endothelial cells,FOXF1,
Mm Hs,Vasculature,,Endothelial cells,CASZ1,
Mm Hs,Vasculature,,Endothelial cells,AQP7,
Mm Hs,Vasculature,,Endothelial cells,TCF15,
Mm Hs,Vasculature,,Endothelial cells,CD300LG,
Mm Hs,Vasculature,,Endothelial cells,BTNL9,
Mm Hs,Vasculature,,Endothelial cells,MEOX2,
Mm Hs,Vasculature,,Endothelial cells,ERG,
Mm Hs,Vasculature,,Endothelial cells,HEXIM1,
Mm Hs,Vasculature,,Endothelial cells,GLYCAM1,
Mm Hs,Vasculature,,Endothelial cells,CD55,
Mm Hs,Vasculature,,Endothelial cells,MMRN1,
Mm Hs,Vasculature,,Endothelial cells,C7,
Mm Hs,Vasculature,,Endothelial cells,RAMP3,
Mm Hs,Vasculature,,Endothelial cells,VEGFC,
Mm Hs,Vasculature,,Endothelial cells,GJA5,
Mm Hs,Vasculature,,Endothelial cells,HEY1,
Mm Hs,Vasculature,,Endothelial cells,RND1,
Mm Hs,Vasculature,,Endothelial cells,BDP1,
Mm Hs,Vasculature,,Endothelial cells,CD46,
Mm Hs,Vasculature,,Endothelial cells,MEOX1,
Mm Hs,Vasculature,,Endothelial cells,CCL19,
Mm,Vasculature,,Endothelial cells,CLCA3A1,
Mm Hs,Vasculature,,Endothelial cells,MADCAM1,
Mm Hs,Vasculature,,Endothelial cells,CYP1B1,
Mm Hs,Vasculature,,Endothelial cells,IRX3,
Mm Hs,Vasculature,,Endothelial cells,BIRC2,
Mm Hs,Vasculature,,Endothelial cells,LYVE1,
Mm Hs,Vasculature,,Endothelial cells,SEMA3D,
Mm,Vasculature,,Endothelial cells,SLCO1A4,
Mm Hs,Vasculature,,Endothelial cells,EMCN,
Mm Hs,Vasculature,,Endothelial cells,WFDC1,
Mm Hs,Vasculature,,Endothelial cells,ADGRL4,
Mm Hs,Vasculature,,Endothelial cells,VWA1,
Mm Hs,Vasculature,,Endothelial cells,ECE1,
Mm Hs,Vasculature,,Endothelial cells,PTPRB,
Mm Hs,Vasculature,,Endothelial cells,CLDN5,
None,Vasculature,,Endothelial cells,SDPR,
Mm,Vasculature,,Endothelial cells,CAR4,
Mm Hs,Vasculature,,Endothelial cells,TBX1,
Mm Hs,Vasculature,,Endothelial cells,SEMA7A,
Mm Hs,Vasculature,,Endothelial cells,FOXF2,
Mm Hs,Vasculature,,Endothelial cells,PDGFB,
Mm Hs,Vasculature,,Endothelial cells,ECSCR,
Mm Hs,Vasculature,,Endothelial cells,ELK3,
Mm Hs,Vasculature,,Endothelial cells,CDH5,
Mm Hs,Vasculature,,Endothelial cells,PLEC,
Mm Hs,Vasculature,,Endothelial cells,STAB1,
Mm Hs,Vasculature,,Endothelial cells,TGFBR2,
Mm Hs,Vasculature,,Endothelial cells,CD93,
Mm Hs,Vasculature,,Endothelial cells,CXCL1,
Mm,Vasculature,,Endothelial cells,LY6C1,
Mm Hs,Vasculature,,Endothelial cells,RGS5,
Mm Hs,Vasculature,,Endothelial cells,SLC7A5,
Mm Hs,Vasculature,,Endothelial cells,ENG,
Mm Hs,Vasculature,,Endothelial cells,KDR,
Mm Hs,Vasculature,,Endothelial cells,SLC2A1,
Mm Hs,Vasculature,,Endothelial cells,EGFL7,
Mm Hs,Vasculature,,Endothelial cells,FLT1,
Mm Hs,Vasculature,,Endothelial cells,EPAS1,
Mm Hs,Vasculature,,Endothelial cells,EDNRB,
Mm Hs,Vasculature,,Endothelial cells,KCNJ8,
Mm Hs,Vasculature,,Endothelial cells,CD82,
Mm Hs,Vasculature,,Endothelial cells,CHST1,
Mm Hs,Vasculature,,Endothelial cells,PLAC8,
Mm Hs,Vasculature,,Endothelial cells,TSPAN8,
Mm Hs,Vasculature,,Endothelial cells,ETS1,
Mm Hs,Vasculature,,Endothelial cells,CD34,
Mm Hs,Vasculature,,Endothelial cells,PDPN,
Mm Hs,Vasculature,,Endothelial cells,PROX1,
Mm Hs,Vasculature,,Endothelial cells,EHD3,
Mm Hs,Vasculature,,Endothelial cells,SRGN,
Mm Hs,Vasculature,,Endothelial cells,S100A10,
Mm Hs,Vasculature,,Endothelial cells,CLIC4,
Mm,Vasculature,,Endothelial cells,LY6A,
Mm Hs,Vasculature,,Endothelial cells,USHBP1,
Mm Hs,Vasculature,,Endothelial cells,MYF6,
Mm Hs,Vasculature,,Endothelial cells,OIT3,
Mm Hs,Vasculature,,Endothelial cells,IL1A,
Mm Hs,Vasculature,,Endothelial cells,BMP2,
Mm Hs,Vasculature,,Endothelial cells,C1QTNF1,
Mm Hs,Vasculature,,Endothelial cells,PCDH12,
Mm Hs,Vasculature,,Endothelial cells,DPP4,
Mm Hs,Vasculature,,Endothelial cells,IGFBP7,
Mm Hs,Vasculature,,Endothelial cells,PALMD,
Mm Hs,Vasculature,,Endothelial cells,POSTN,
Mm Hs,Vasculature,,Endothelial cells,BMX,
Mm Hs,Vasculature,,Endothelial cells,SLC38A5,
Mm Hs,Vasculature,,Endothelial cells,XDH,
Mm Hs,Vasculature,,Endothelial cells,SPARC,
Mm Hs,Vasculature,,Endothelial cells,MGLL,
Mm Hs,Vasculature,,Endothelial cells,SLC9A3R2,
Mm Hs,Vasculature,,Endothelial cells,RGCC,
Mm Hs,Vasculature,,Endothelial cells,ICAM2,
Mm Hs,Vasculature,,Endothelial cells,MGP,
Mm Hs,Vasculature,,Endothelial cells,SPARCL1,
Mm Hs,Vasculature,,Endothelial cells,TM4SF1,
Mm Hs,Vasculature,,Endothelial cells,ID1,
Hs,Vasculature,,Endothelial cells,ADIRF,
Mm Hs,Vasculature,,Endothelial cells,CD9,
Mm Hs,Vasculature,,Endothelial cells,SRPX,
Mm Hs,Vasculature,,Endothelial cells,ID3,
Mm Hs,Vasculature,,Endothelial cells,CAV1,
Mm Hs,Vasculature,,Endothelial cells,GNG11,
Mm Hs,Vasculature,,Endothelial cells,HSPG2,
Hs,Vasculature,,Endothelial cells,CCL14,
Mm Hs,Vasculature,,Endothelial cells,CLEC1B,
Hs,Vasculature,,Endothelial cells,FCN2,
Mm Hs,Vasculature,,Endothelial cells,S100A13,
Hs,Vasculature,,Endothelial cells,FCN3,
Mm Hs,Vasculature,,Endothelial cells,CRHBP,
Mm Hs,Vasculature,,Endothelial cells,IFI27,
Hs,Vasculature,,Endothelial cells,CCL23,
Mm Hs,Vasculature,,Endothelial cells,SGK1,
Mm Hs,Vasculature,,Endothelial cells,DNASE1L3,
Mm Hs,Vasculature,,Endothelial cells,LIFR,
Hs,Vasculature,,Endothelial cells,PCAT19,
Mm Hs,Vasculature,,Endothelial cells,CDKN1C,
Mm Hs,Vasculature,,Endothelial cells,INMT,
Mm Hs,Vasculature,,Endothelial cells,PTGDS,
Mm Hs,Vasculature,,Endothelial cells,TIMP3,
Mm Hs,Vasculature,,Endothelial cells,GPM6A,
Mm Hs,Vasculature,,Endothelial cells,FAM167B,
Mm Hs,Vasculature,,Endothelial cells,LTC4S,
Mm Hs,Vasculature,,Endothelial cells,STAB2,
Mm Hs,Vasculature,,Endothelial cells (aorta),ITGA5,
Mm Hs,Vasculature,,Endothelial cells (aorta),TMTC2,
Mm Hs,Vasculature,,Endothelial cells (aorta),NR1D1,
Mm Hs,Vasculature,,Endothelial cells (aorta),HFE,
Mm Hs,Vasculature,,Endothelial cells (aorta),PKN3,
Mm Hs,Vasculature,,Endothelial cells (aorta),SULT1A1,
Mm Hs,Vasculature,,Endothelial cells (aorta),TMTC1,
Mm Hs,Vasculature,,Endothelial cells (aorta),SHE,
Mm Hs,Vasculature,,Endothelial cells (aorta),ITGBL1,
Mm Hs,Vasculature,,Endothelial cells (aorta),GRASP,
Mm Hs,Vasculature,,Endothelial cells (aorta),ENPP4,
Mm Hs,Vasculature,,Endothelial cells (aorta),ARHGEF15,
Mm Hs,Vasculature,,Endothelial cells (aorta),TMEM184B,
Mm Hs,Vasculature,,Endothelial cells (aorta),FOXC2,
Mm Hs,Vasculature,,Endothelial cells (aorta),DHH,
Mm Hs,Vasculature,,Endothelial cells (aorta),DENND5B,
Mm Hs,Vasculature,,Endothelial cells (aorta),KAZALD1,
Mm Hs,Vasculature,,Endothelial cells (aorta),FGD5,
Mm Hs,Vasculature,,Endothelial cells (aorta),FAS,
Mm Hs,Vasculature,,Endothelial cells (aorta),ITGB4,
Mm Hs,Vasculature,,Endothelial cells (aorta),EMILIN1,
Mm Hs,Vasculature,,Endothelial cells (aorta),MICAL2,
Mm Hs,Vasculature,,Endothelial cells (aorta),NKX2-3,
Mm Hs,Vasculature,,Endothelial cells (aorta),STXBP6,
Mm Hs,Vasculature,,Endothelial cells (aorta),SYNPO,
Mm Hs,Vasculature,,Endothelial cells (aorta),ATP2A3,
Mm Hs,Vasculature,,Endothelial cells (aorta),GIMAP4,
None,Vasculature,,Endothelial cells (aorta),SQRDL,
Mm Hs,Vasculature,,Endothelial cells (aorta),CMKLR1,
Mm Hs,Vasculature,,Endothelial cells (aorta),ITGA9,
Mm Hs,Vasculature,,Endothelial cells (aorta),SMAD6,
Mm Hs,Vasculature,,Endothelial cells (aorta),EFNB2,
Mm Hs,Vasculature,,Endothelial cells (aorta),LOX,
Mm Hs,Vasculature,,Endothelial cells (aorta),FZD4,
Mm Hs,Vasculature,,Endothelial cells (aorta),NTN1,
Mm Hs,Vasculature,,Endothelial cells (aorta),NPR1,
Mm Hs,Vasculature,,Endothelial cells (aorta),ARL4D,
Mm Hs,Vasculature,,Endothelial cells (aorta),HEY2,
Mm Hs,Vasculature,,Endothelial cells (aorta),HYAL2,
Mm Hs,Vasculature,,Endothelial cells (aorta),FKBP7,
Mm Hs,Vasculature,,Endothelial cells (aorta),NXN,
Mm Hs,Vasculature,,Endothelial cells (aorta),PDIA5,
